env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
2000,1,-0.003059,0.020625,1.609156,0.000271,0.000000,nan,nan,678.0
4000,2,-0.002377,0.020009,1.607454,0.000256,0.000000,nan,nan,1921.6
6000,3,-0.003998,0.017086,1.602954,0.001087,0.000125,nan,nan,1722.3
8000,4,-0.005336,0.014094,1.585946,0.003583,0.020625,nan,nan,1875.1
10000,5,-0.005534,0.010361,1.557371,0.002639,0.009000,nan,nan,1804.5
12000,6,-0.009587,0.008379,1.509720,0.008427,0.121000,nan,nan,1628.4
14000,7,-0.009106,0.007672,1.480535,0.007113,0.068625,nan,nan,1642.6
16000,8,-0.012542,0.007549,1.394120,0.008889,0.139250,nan,nan,1710.4
18000,9,-0.012841,0.006513,1.347229,0.008948,0.107875,nan,nan,1784.6
20000,10,-0.013067,0.005322,1.281483,0.010045,0.115375,nan,nan,1535.1
22000,11,-0.009820,0.003366,1.215742,0.006118,0.065125,nan,nan,1916.4
24000,12,-0.012719,0.003779,1.172994,0.008714,0.096500,-24.060810,1440.00,1721.1
26000,13,-0.013337,0.003779,1.076727,0.010896,0.108750,-24.060810,1440.00,1899.7
28000,14,-0.009528,0.003815,1.041962,0.008136,0.085375,-24.060810,1440.00,1708.8
30000,15,-0.014111,0.003537,0.976528,0.012814,0.134750,-24.060810,1440.00,1837.8
32000,16,-0.012046,0.004471,0.895810,0.012959,0.161625,-24.060810,1440.00,1803.4
34000,17,-0.012506,0.003950,0.883051,0.011574,0.161625,-24.060810,1440.00,1719.6
36000,18,-0.011431,0.003224,0.841391,0.009345,0.111500,-24.060810,1440.00,1813.6
38000,19,-0.014113,0.003374,0.799210,0.011891,0.141750,-24.060810,1440.00,1703.8
40000,20,-0.008750,0.003363,0.669572,0.011027,0.139875,-24.060810,1440.00,2016.4
42000,21,-0.007993,0.003348,0.629710,0.006599,0.083000,-24.060810,1440.00,2027.9
44000,22,-0.006460,0.003741,0.574712,0.004646,0.067875,-24.060810,1440.00,1898.9
46000,23,-0.008075,0.003509,0.526728,0.006961,0.080000,-24.060810,1440.00,1628.2
48000,24,-0.009205,0.003532,0.507829,0.005868,0.068500,-17.576230,1440.00,1431.2
50000,25,-0.008519,0.002864,0.453971,0.004430,0.059750,-17.576230,1440.00,1521.5
52000,26,-0.007714,0.002841,0.384326,0.005813,0.066750,-17.576230,1440.00,1420.6
54000,27,-0.005182,0.002756,0.336234,0.005149,0.054625,-17.576230,1440.00,1413.3
56000,28,-0.002553,0.003209,0.246291,0.004119,0.042125,-17.576230,1440.00,1514.6
58000,29,-0.006281,0.002517,0.293833,0.002863,0.035750,-17.576230,1440.00,1528.9
60000,30,-0.006387,0.002539,0.303856,0.002634,0.034375,-17.576230,1440.00,1272.6
62000,31,-0.005650,0.002119,0.245972,0.003189,0.043125,-17.576230,1440.00,1703.4
64000,32,-0.004025,0.002792,0.257742,0.005348,0.056875,-17.576230,1440.00,1705.2
66000,33,-0.005365,0.002537,0.199052,0.004799,0.042625,-17.576230,1440.00,1550.4
68000,34,-0.006325,0.002678,0.183483,0.002183,0.029375,-17.576230,1440.00,1285.6
70000,35,-0.008883,0.002729,0.192761,0.004150,0.043000,-12.865245,1440.00,1432.1
72000,36,-0.005418,0.002324,0.148078,0.002204,0.024250,-12.865245,1440.00,1809.2
74000,37,-0.004018,0.002146,0.114793,0.001462,0.014000,-12.865245,1440.00,1809.0
76000,38,-0.006130,0.002240,0.113614,0.004427,0.032375,-12.865245,1440.00,1403.9
78000,39,-0.003684,0.002060,0.084517,0.004051,0.030750,-12.865245,1440.00,1353.8
80000,40,-0.003241,0.001713,0.061446,0.002084,0.014125,-12.865245,1440.00,1559.1
82000,41,-0.005320,0.001867,0.099117,0.002988,0.026000,-12.865245,1440.00,1507.1
84000,42,-0.002375,0.001504,0.054239,0.001363,0.014000,-12.865245,1440.00,1604.2
86000,43,-0.001273,0.001336,0.046929,0.001380,0.009250,-12.865245,1440.00,1200.6
88000,44,-0.002206,0.001301,0.035611,0.002124,0.010625,-12.865245,1440.00,1374.8
90000,45,-0.006047,0.001365,0.068766,0.004138,0.029250,-12.865245,1440.00,1759.0
92000,46,-0.001778,0.001246,0.052050,0.001753,0.013875,-12.865245,1440.00,1893.2
94000,47,-0.001742,0.001636,0.049711,0.001803,0.015250,-9.910537,1440.00,1771.1
96000,48,-0.003889,0.001315,0.060891,0.004016,0.019875,-9.910537,1440.00,1856.8
98000,49,-0.002736,0.001058,0.049432,0.001782,0.015875,-9.910537,1440.00,1890.9
100000,50,0.000450,0.001399,0.051528,0.002656,0.020625,-9.910537,1440.00,1955.8
102000,51,-0.001249,0.001422,0.059455,0.002077,0.018625,-9.910537,1440.00,1966.7
104000,52,-0.001900,0.000923,0.037185,0.002248,0.013875,-9.910537,1440.00,2045.1
106000,53,-0.004786,0.001126,0.056709,0.003397,0.018875,-9.910537,1440.00,2017.5
108000,54,-0.004208,0.001000,0.033221,0.003526,0.021375,-9.910537,1440.00,1931.5
110000,55,-0.001276,0.000890,0.028006,0.000703,0.007125,-9.910537,1440.00,1911.4
112000,56,-0.002314,0.000780,0.022655,0.000898,0.005875,-9.910537,1440.00,1937.5
114000,57,-0.002329,0.000988,0.031093,0.002568,0.011250,-9.910537,1440.00,1878.3
116000,58,-0.004233,0.001307,0.039977,0.002562,0.014625,-8.047853,1440.00,1796.3
118000,59,-0.002751,0.000927,0.045007,0.004113,0.016125,-8.047853,1440.00,1798.2
120000,60,-0.002855,0.001136,0.028114,0.002213,0.012250,-8.047853,1440.00,2011.6
122000,61,-0.002004,0.000913,0.033032,0.001771,0.011750,-8.047853,1440.00,1986.7
124000,62,-0.003969,0.001128,0.052193,0.002016,0.017000,-8.047853,1440.00,1985.3
126000,63,-0.001351,0.000647,0.023753,0.002457,0.013000,-8.047853,1440.00,2078.5
128000,64,-0.001871,0.000718,0.014443,0.002810,0.008375,-8.047853,1440.00,2005.5
130000,65,-0.002583,0.001032,0.017602,0.001030,0.005500,-8.047853,1440.00,2110.7
132000,66,-0.000606,0.001799,0.012922,0.001009,0.005500,-8.047853,1440.00,2066.4
134000,67,-0.002914,0.000952,0.024033,0.001087,0.006750,-8.047853,1440.00,1778.5
136000,68,-0.002147,0.000714,0.020150,0.001749,0.008125,-8.047853,1440.00,1908.3
138000,69,-0.000252,0.000623,0.010033,0.002091,0.007875,-8.047853,1440.00,1820.1
140000,70,-0.000898,0.000838,0.004064,0.000585,0.003125,-6.776644,1440.00,1807.8
142000,71,0.001814,0.001143,0.018995,0.001744,0.010500,-6.776644,1440.00,1869.7
144000,72,0.004877,0.001221,0.003364,0.011498,0.010375,-6.776644,1440.00,1832.9
146000,73,-0.000436,0.000939,0.008212,0.001490,0.008250,-6.776644,1440.00,1790.4
148000,74,-0.000041,0.000700,0.001076,0.000007,0.000125,-6.776644,1440.00,2110.1
150000,75,-0.000635,0.000893,0.003336,0.001286,0.004250,-6.776644,1440.00,1951.9
152000,76,0.000001,0.000798,0.000031,0.000000,0.000000,-6.776644,1440.00,2015.4
154000,77,-0.001205,0.000657,0.002891,0.000484,0.001625,-6.776644,1440.00,2012.8
156000,78,-0.000132,0.001664,0.001321,0.000219,0.000875,-6.776644,1440.00,1758.5
158000,79,-0.000089,0.000436,0.002258,0.000018,0.000250,-6.776644,1440.00,1741.1
160000,80,-0.000573,0.000623,0.001368,0.001193,0.001375,-6.776644,1440.00,1825.0
162000,81,0.000000,0.000423,0.000046,0.000000,0.000000,-3.644837,1440.00,1688.9
164000,82,-0.000558,0.000398,0.003286,0.000053,0.000625,-3.644837,1440.00,1611.5
166000,83,-0.000000,0.000325,0.000049,-0.000000,0.000000,-3.644837,1440.00,1821.5
168000,84,-0.000133,0.000312,0.000492,0.000081,0.000250,-3.644837,1440.00,2507.0
170000,85,-0.000725,0.001313,0.001955,0.000110,0.000750,-3.644837,1440.00,2651.2
172000,86,-0.000480,0.001401,0.004894,0.000368,0.002375,-3.644837,1440.00,2520.8
174000,87,-0.000373,0.000386,0.006547,0.001490,0.003750,-3.644837,1440.00,2397.4
176000,88,-0.000927,0.000542,0.008938,0.001512,0.005125,-3.644837,1440.00,2880.6
178000,89,-0.000468,0.000265,0.002975,0.000335,0.002125,-3.644837,1440.00,1187.2
180000,90,-0.001984,0.000269,0.004200,0.003335,0.006125,-3.644837,1440.00,952.3
182000,91,-0.000725,0.000325,0.004202,0.000620,0.002750,-3.644837,1440.00,958.8
184000,92,-0.000711,0.000231,0.005160,0.000978,0.003500,-3.644837,1440.00,1004.8
186000,93,-0.001270,0.000258,0.009943,0.000534,0.004000,-1.372958,1440.00,1042.7
188000,94,0.005436,0.000303,0.009560,0.022507,0.010625,-1.372958,1440.00,1046.3
190000,95,-0.002450,0.000245,0.008726,0.002772,0.007750,-1.372958,1440.00,941.5
192000,96,-0.000635,0.000319,0.005561,0.000927,0.004500,-1.372958,1440.00,1099.5
194000,97,0.000205,0.000330,0.007634,0.005593,0.006750,-1.372958,1440.00,1140.9
196000,98,-0.001147,0.000272,0.010158,0.000741,0.004750,-1.372958,1440.00,1101.7
198000,99,0.000221,0.000214,0.000892,0.002862,0.001500,-1.372958,1440.00,1143.5
200000,100,-0.000602,0.000318,0.003580,0.001081,0.002500,-1.372958,1440.00,992.5
202000,101,-0.000280,0.000321,0.004392,0.000458,0.002875,-1.372958,1440.00,945.5
204000,102,-0.001583,0.000215,0.003442,0.001350,0.003750,-1.372958,1440.00,1084.6
206000,103,-0.000126,0.000161,0.000210,0.000014,0.000375,-1.372958,1440.00,1042.1
208000,104,-0.000804,0.000216,0.002287,0.000215,0.001625,-0.529606,1440.00,1080.6
210000,105,-0.000295,0.000830,0.005037,0.001395,0.005375,-0.529606,1440.00,1118.3
212000,106,0.000089,0.001855,0.000149,0.000000,0.000000,-0.529606,1440.00,1296.6
214000,107,-0.001686,0.000249,0.003043,0.000505,0.002375,-0.529606,1440.00,1284.3
216000,108,0.000074,0.000694,0.005200,0.000632,0.004000,-0.529606,1440.00,882.4
218000,109,-0.000002,0.000508,0.000031,0.000000,0.000000,-0.529606,1440.00,910.5
220000,110,-0.000000,0.000472,0.000014,0.000000,0.000000,-0.529606,1440.00,1014.2
222000,111,-0.000000,0.000549,0.000048,-0.000000,0.000000,-0.529606,1440.00,1206.8
224000,112,-0.000325,0.000376,0.001719,0.000741,0.001375,-0.529606,1440.00,1302.2
226000,113,-0.000184,0.000247,0.005510,0.004203,0.006000,-0.529606,1440.00,1402.3
228000,114,-0.002431,0.000375,0.007772,0.002252,0.006625,-0.529606,1440.00,1132.2
230000,115,-0.000253,0.000302,0.001696,0.001110,0.001750,-0.529606,1440.00,1382.0
232000,116,0.002093,0.000624,0.006104,0.006401,0.007500,-0.269926,1440.00,1400.6
234000,117,-0.000379,0.000325,0.010007,0.005041,0.008125,-0.269926,1440.00,1056.9
236000,118,-0.001099,0.000236,0.004887,0.001655,0.003875,-0.269926,1440.00,1111.6
238000,119,-0.002368,0.000380,0.013135,0.002090,0.010750,-0.269926,1440.00,1227.0
240000,120,-0.000194,0.000483,0.007431,0.001484,0.003750,-0.269926,1440.00,1242.8
242000,121,-0.000752,0.000485,0.003172,0.001045,0.002000,-0.269926,1440.00,1694.0
244000,122,-0.001322,0.000138,0.004885,0.005021,0.004375,-0.269926,1440.00,2003.9
246000,123,-0.000493,0.000152,0.000474,0.004500,0.001250,-0.269926,1440.00,1687.3
248000,124,0.000022,0.000110,0.000048,0.000000,0.000000,-0.269926,1440.00,1718.3
250000,125,0.000000,0.000116,0.000017,0.000000,0.000000,-0.269926,1440.00,1894.3
252000,126,-0.000253,0.000127,0.002461,0.000817,0.002000,-0.269926,1440.00,1569.0
254000,127,-0.000121,0.000112,0.000551,0.000003,0.000000,-0.176792,1440.00,1728.0
256000,128,-0.000000,0.000544,0.000011,0.000000,0.000000,-0.176792,1440.00,1914.9
258000,129,-0.000000,0.000401,0.000012,0.000000,0.000000,-0.176792,1440.00,1864.9
260000,130,-0.000000,0.000132,0.000001,0.000000,0.000000,-0.176792,1440.00,1832.9
262000,131,-0.000000,0.001251,0.000002,-0.000000,0.000000,-0.176792,1440.00,1864.4
264000,132,0.000603,0.001497,0.001343,0.000231,0.001375,-0.176792,1440.00,1434.7
266000,133,-0.000463,0.000160,0.001138,0.000723,0.001125,-0.176792,1440.00,1590.0
268000,134,-0.001126,0.000178,0.000499,0.006988,0.001500,-0.176792,1440.00,1619.7
270000,135,0.000000,0.000131,0.000001,0.000000,0.000000,-0.176792,1440.00,1432.4
272000,136,0.000000,0.003775,0.000002,0.000000,0.000000,-0.176792,1440.00,1618.0
274000,137,-0.000000,0.000555,0.000000,0.000000,0.000000,-0.176792,1440.00,1048.4
276000,138,-0.000000,0.000536,0.000004,-0.000000,0.000000,-0.176792,1440.00,1137.0
278000,139,-0.000000,0.000643,0.000000,0.000000,0.000000,-0.114852,1440.00,1505.3
280000,140,-0.000000,0.000585,0.000001,-0.000000,0.000000,-0.114852,1440.00,1305.4
282000,141,-0.000000,0.000496,0.000000,-0.000000,0.000000,-0.114852,1440.00,1690.0
284000,142,-0.000000,0.000488,0.000000,0.000000,0.000000,-0.114852,1440.00,1781.2
286000,143,-0.000000,0.000454,0.000000,0.000000,0.000000,-0.114852,1440.00,1732.0
288000,144,-0.000000,0.000449,0.000000,0.000000,0.000000,-0.114852,1440.00,1704.6
290000,145,-0.000000,0.000422,0.000000,0.000000,0.000000,-0.114852,1440.00,1788.8
292000,146,-0.000000,0.000380,0.000002,0.000000,0.000000,-0.114852,1440.00,1887.0
294000,147,-0.000000,0.000427,0.000001,-0.000000,0.000000,-0.114852,1440.00,1795.1
296000,148,-0.000000,0.000453,0.000007,-0.000000,0.000000,-0.114852,1440.00,1734.4
298000,149,-0.000000,0.000422,0.000009,0.000000,0.000000,-0.114852,1440.00,1656.3
300000,150,-0.000000,0.000413,0.000012,0.000000,0.000000,-0.091785,1440.00,1744.3
302000,151,-0.000000,0.000429,0.000001,0.000000,0.000000,-0.091785,1440.00,1574.1
304000,152,-0.000000,0.000403,0.000001,0.000000,0.000000,-0.091785,1440.00,1864.5
306000,153,-0.000000,0.000365,0.000000,0.000000,0.000000,-0.091785,1440.00,1413.2
308000,154,-0.000000,0.000365,0.000001,0.000000,0.000000,-0.091785,1440.00,1426.9
310000,155,-0.000238,0.000406,0.000290,0.001869,0.000750,-0.091785,1440.00,2019.4
312000,156,-0.000000,0.001308,0.000000,0.000000,0.000000,-0.091785,1440.00,1595.3
314000,157,-0.000000,0.000752,0.000006,0.000000,0.000000,-0.091785,1440.00,1584.6
316000,158,-0.000000,0.000454,0.000000,0.000000,0.000000,-0.091785,1440.00,1403.3
318000,159,-0.000000,0.001149,0.000000,0.000000,0.000000,-0.091785,1440.00,1123.0
320000,160,-0.000000,0.000469,0.000000,0.000000,0.000000,-0.091785,1440.00,1536.9
322000,161,-0.000000,0.000499,0.000000,0.000000,0.000000,-0.091785,1440.00,1563.0
324000,162,-0.000000,0.000389,0.000000,0.000000,0.000000,-0.082111,1440.00,1698.3
326000,163,-0.000000,0.000353,0.000000,0.000000,0.000000,-0.082111,1440.00,1816.1
328000,164,-0.000000,0.000350,0.000003,0.000000,0.000000,-0.082111,1440.00,1905.5
330000,165,-0.000000,0.000350,0.000000,0.000000,0.000000,-0.082111,1440.00,1775.5
332000,166,-0.000000,0.000324,0.000000,0.000000,0.000000,-0.082111,1440.00,1584.0
334000,167,-0.000000,0.000315,0.000001,-0.000000,0.000000,-0.082111,1440.00,1294.3
336000,168,-0.000000,0.000320,0.000001,-0.000000,0.000000,-0.082111,1440.00,1599.4
338000,169,-0.000000,0.000321,0.000000,0.000000,0.000000,-0.082111,1440.00,1636.1
340000,170,-0.000000,0.000331,0.000000,0.000000,0.000000,-0.082111,1440.00,1478.6
342000,171,-0.000000,0.000312,0.000000,0.000000,0.000000,-0.082111,1440.00,1767.5
344000,172,-0.000000,0.000293,0.000000,0.000000,0.000000,-0.082111,1440.00,1686.2
346000,173,-0.000000,0.000300,0.000000,0.000000,0.000000,-0.068493,1440.00,1627.8
348000,174,-0.000000,0.000276,0.000002,0.000000,0.000000,-0.068493,1440.00,1265.5
350000,175,-0.000000,0.000293,0.000000,0.000000,0.000000,-0.068493,1440.00,1623.6
352000,176,-0.000000,0.000289,0.000000,0.000000,0.000000,-0.068493,1440.00,1684.5
354000,177,-0.000000,0.000273,0.000001,0.000000,0.000000,-0.068493,1440.00,1348.3
356000,178,-0.000000,0.000283,0.000001,-0.000000,0.000000,-0.068493,1440.00,1438.2
358000,179,-0.000000,0.000265,0.000001,0.000000,0.000000,-0.068493,1440.00,1541.4
360000,180,-0.000000,0.000264,0.000004,0.000000,0.000000,-0.068493,1440.00,1597.1
362000,181,-0.000000,0.000264,0.000000,0.000000,0.000000,-0.068493,1440.00,1682.7
364000,182,-0.000000,0.000267,0.000001,0.000000,0.000000,-0.068493,1440.00,1804.5
366000,183,-0.000000,0.000273,0.000001,0.000000,0.000000,-0.068493,1440.00,1768.9
368000,184,-0.000000,0.000255,0.000001,0.000000,0.000000,-0.068493,1440.00,1481.3
370000,185,-0.000000,0.000252,0.000000,0.000000,0.000000,-0.056533,1440.00,1657.2
372000,186,-0.000000,0.000229,0.000001,0.000000,0.000000,-0.056533,1440.00,1844.2
374000,187,-0.000000,0.000101,0.000001,0.000000,0.000000,-0.056533,1440.00,1889.6
376000,188,-0.000000,0.000268,0.000000,0.000000,0.000000,-0.056533,1440.00,1760.8
378000,189,-0.000000,0.000277,0.000000,0.000000,0.000000,-0.056533,1440.00,1663.9
380000,190,-0.000000,0.000257,0.000000,0.000000,0.000000,-0.056533,1440.00,1621.2
382000,191,-0.000000,0.000251,0.000001,0.000000,0.000000,-0.056533,1440.00,1295.2
384000,192,-0.000000,0.000238,0.000001,0.000000,0.000000,-0.056533,1440.00,1331.9
386000,193,-0.000000,0.000250,0.000001,-0.000000,0.000000,-0.056533,1440.00,1270.7
388000,194,-0.000000,0.000243,0.000015,-0.000000,0.000000,-0.056533,1440.00,1577.6
390000,195,-0.000000,0.000240,0.000002,0.000000,0.000000,-0.056533,1440.00,1546.0
392000,196,-0.000000,0.000249,0.000000,0.000000,0.000000,-0.039675,1440.00,1508.7
394000,197,-0.000000,0.000230,0.000001,0.000000,0.000000,-0.039675,1440.00,1515.9
396000,198,-0.000000,0.000232,0.000008,0.000000,0.000000,-0.039675,1440.00,1723.9
398000,199,-0.000000,0.000224,0.000001,0.000000,0.000000,-0.039675,1440.00,1479.5
400000,200,-0.000000,0.000224,0.000001,-0.000000,0.000000,-0.039675,1440.00,1549.7
402000,201,-0.000000,0.000211,0.000005,-0.000000,0.000000,-0.039675,1440.00,1627.5
404000,202,-0.000000,0.000198,0.000004,-0.000000,0.000000,-0.039675,1440.00,1493.5
406000,203,-0.000000,0.000116,0.000001,0.000000,0.000000,-0.039675,1440.00,1237.9
408000,204,-0.000000,0.000250,0.000003,0.000000,0.000000,-0.039675,1440.00,1428.4
410000,205,-0.000039,0.000069,0.000080,0.000000,0.000000,-0.039675,1440.00,1562.0
412000,206,-0.000000,0.000063,0.000004,-0.000000,0.000000,-0.039675,1440.00,1668.5
414000,207,-0.000000,0.000040,0.000007,-0.000000,0.000000,-0.039675,1440.00,1655.3
416000,208,-0.000000,0.000041,0.000003,0.000000,0.000000,-0.033594,1440.00,1702.5
418000,209,-0.000000,0.000039,0.000004,0.000000,0.000000,-0.033594,1440.00,1637.5
420000,210,-0.000000,0.000032,0.000002,0.000000,0.000000,-0.033594,1440.00,1601.0
422000,211,-0.000000,0.000046,0.000007,0.000000,0.000000,-0.033594,1440.00,1455.4
424000,212,-0.000000,0.000035,0.000002,0.000000,0.000000,-0.033594,1440.00,1670.9
426000,213,-0.000000,0.000039,0.000004,0.000000,0.000000,-0.033594,1440.00,1433.1
428000,214,-0.000000,0.000027,0.000003,0.000000,0.000000,-0.033594,1440.00,1674.4
430000,215,-0.000000,0.000025,0.000002,0.000000,0.000000,-0.033594,1440.00,1729.1
432000,216,-0.000000,0.000028,0.000007,0.000000,0.000000,-0.033594,1440.00,1708.1
434000,217,-0.000000,0.000025,0.000015,0.000000,0.000000,-0.033594,1440.00,1724.4
436000,218,-0.000000,0.000025,0.000010,-0.000000,0.000000,-0.033594,1440.00,1489.6
438000,219,-0.000000,0.000026,0.000008,0.000000,0.000000,-0.032274,1440.00,1729.5
440000,220,-0.000000,0.000027,0.000002,0.000000,0.000000,-0.032274,1440.00,1677.5
442000,221,-0.000000,0.000021,0.000002,0.000000,0.000000,-0.032274,1440.00,1726.4
444000,222,-0.000000,0.000021,0.000033,0.000000,0.000000,-0.032274,1440.00,1745.6
446000,223,-0.000000,0.000024,0.000009,-0.000000,0.000000,-0.032274,1440.00,1426.4
448000,224,-0.000039,0.000028,0.000112,0.000000,0.000000,-0.032274,1440.00,1594.2
450000,225,-0.000000,0.000022,0.000009,-0.000000,0.000000,-0.032274,1440.00,1873.4
452000,226,-0.000001,0.000021,0.000013,-0.000000,0.000000,-0.032274,1440.00,1752.2
454000,227,-0.000000,0.000022,0.000008,0.000000,0.000000,-0.032274,1440.00,1737.8
456000,228,0.000380,0.000041,0.001571,0.025822,0.001750,-0.032274,1440.00,1782.5
458000,229,-0.000428,0.000045,0.000953,0.000221,0.000375,-0.032274,1440.00,1786.2
460000,230,-0.001793,0.000063,0.005315,0.008032,0.006625,-0.032274,1440.00,1775.2
