env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
2000,1,-0.001618,0.016713,1.609382,0.000055,0.000000,nan,nan,1061.1
4000,2,-0.001779,0.014879,1.609006,0.000112,0.000000,nan,nan,2043.6
6000,3,-0.002957,0.012130,1.607104,0.000491,0.000000,nan,nan,1880.9
8000,4,-0.005022,0.011524,1.600129,0.001576,0.000250,nan,nan,3014.8
10000,5,-0.008691,0.010630,1.571199,0.006458,0.065750,nan,nan,2700.4
12000,6,-0.011052,0.007918,1.526091,0.007234,0.092375,nan,nan,2901.0
14000,7,-0.013010,0.007821,1.473234,0.009718,0.107375,nan,nan,2829.0
16000,8,-0.007536,0.004952,1.432966,0.005200,0.084500,nan,nan,2702.8
18000,9,-0.015241,0.005832,1.341286,0.011596,0.166125,nan,nan,2210.3
20000,10,-0.017298,0.008371,1.255093,0.012273,0.205000,nan,nan,1910.5
22000,11,-0.017043,0.006955,1.111618,0.013349,0.139125,nan,nan,1755.0
24000,12,-0.017138,0.005318,0.959531,0.013257,0.155125,-23.876515,1440.00,1791.3
26000,13,-0.013124,0.005049,0.824899,0.011978,0.118000,-23.876515,1440.00,2069.3
28000,14,-0.011895,0.004183,0.776445,0.010994,0.109875,-23.876515,1440.00,2280.7
30000,15,-0.010562,0.003753,0.715983,0.006834,0.082875,-23.876515,1440.00,2219.0
32000,16,-0.008446,0.004104,0.554479,0.006685,0.076125,-23.876515,1440.00,2342.5
34000,17,-0.011163,0.003305,0.391658,0.016429,0.092125,-23.876515,1440.00,2086.9
36000,18,-0.005379,0.003352,0.394981,0.002740,0.036250,-23.876515,1440.00,2434.4
38000,19,-0.004934,0.003084,0.293796,0.002657,0.034375,-23.876515,1440.00,2188.2
40000,20,-0.003530,0.003066,0.257625,0.003639,0.033625,-23.876515,1440.00,2412.7
42000,21,-0.006133,0.002728,0.291886,0.002653,0.034375,-23.876515,1440.00,1878.8
44000,22,-0.003969,0.002703,0.236341,0.002717,0.034000,-23.876515,1440.00,1631.7
46000,23,-0.002963,0.002519,0.187186,0.002611,0.027750,-23.876515,1440.00,1877.0
48000,24,-0.004138,0.002363,0.168977,0.005355,0.040125,-14.923639,1440.00,2212.3
50000,25,-0.001977,0.002350,0.175066,0.000493,0.006125,-14.923639,1440.00,2664.1
52000,26,-0.002831,0.002272,0.142699,0.002263,0.024250,-14.923639,1440.00,2455.1
54000,27,-0.003073,0.001655,0.134449,0.003946,0.029625,-14.923639,1440.00,2360.3
56000,28,-0.002611,0.001509,0.173971,0.003376,0.030000,-14.923639,1440.00,2571.2
58000,29,-0.002270,0.001740,0.172827,0.001158,0.013375,-14.923639,1440.00,2132.9
60000,30,-0.003812,0.001618,0.226311,0.001966,0.026750,-14.923639,1440.00,1897.6
62000,31,-0.002961,0.001312,0.136793,0.006534,0.037375,-14.923639,1440.00,2239.9
64000,32,-0.001687,0.001491,0.121049,0.000558,0.005375,-14.923639,1440.00,1826.1
66000,33,-0.001335,0.001292,0.067415,0.002308,0.012500,-14.923639,1440.00,1678.2
68000,34,-0.000813,0.001204,0.061363,0.000271,0.003500,-14.923639,1440.00,1962.9
70000,35,-0.001264,0.000986,0.067653,0.000894,0.008000,-10.425345,1440.00,2468.6
72000,36,-0.001714,0.000850,0.060725,0.001962,0.014375,-10.425345,1440.00,2637.1
74000,37,-0.000982,0.000854,0.039996,0.001155,0.006125,-10.425345,1440.00,2118.9
76000,38,-0.000088,0.000792,0.028859,0.000013,0.000250,-10.425345,1440.00,1931.1
78000,39,-0.000391,0.000725,0.021960,0.000202,0.002375,-10.425345,1440.00,1969.1
80000,40,-0.000071,0.000644,0.013337,0.000031,0.000250,-10.425345,1440.00,2105.6
82000,41,-0.000330,0.000614,0.011906,0.000192,0.002000,-10.425345,1440.00,2121.9
84000,42,-0.000305,0.000621,0.008282,0.000188,0.000625,-10.425345,1440.00,1997.3
86000,43,-0.000017,0.000566,0.005645,0.000000,0.000000,-10.425345,1440.00,2201.6
88000,44,-0.000001,0.000598,0.003944,0.000000,0.000000,-10.425345,1440.00,2469.9
90000,45,-0.000149,0.000467,0.005719,0.000044,0.000375,-10.425345,1440.00,2119.0
92000,46,-0.000236,0.000463,0.004298,0.000070,0.000375,-10.425345,1440.00,2418.4
94000,47,-0.000001,0.000496,0.003298,0.000000,0.000000,-7.867613,1440.00,2327.3
96000,48,-0.000023,0.000490,0.004242,0.000037,0.000250,-7.867613,1440.00,1839.7
98000,49,-0.000167,0.000375,0.003683,0.000053,0.000375,-7.867613,1440.00,2240.4
100000,50,-0.000000,0.000409,0.002881,-0.000000,0.000000,-7.867613,1440.00,2155.5
102000,51,0.000000,0.000408,0.002599,0.000000,0.000000,-7.867613,1440.00,2121.0
104000,52,0.000000,0.000378,0.003529,0.000000,0.000000,-7.867613,1440.00,2066.4
106000,53,-0.000085,0.000425,0.003010,0.000043,0.000625,-7.867613,1440.00,2305.6
108000,54,-0.000000,0.000449,0.002888,-0.000000,0.000000,-7.867613,1440.00,2163.3
110000,55,-0.000000,0.000352,0.002409,0.000000,0.000000,-7.867613,1440.00,2586.2
112000,56,-0.000029,0.000338,0.003269,0.000013,0.000125,-7.867613,1440.00,2465.9
114000,57,-0.000002,0.000296,0.003916,0.000000,0.000000,-7.867613,1440.00,2322.6
116000,58,-0.000201,0.000410,0.002124,0.000130,0.000375,-6.302233,1440.00,2073.8
118000,59,-0.000139,0.000504,0.000997,0.000087,0.000250,-6.302233,1440.00,2122.2
120000,60,0.000001,0.001082,0.000535,0.000000,0.000000,-6.302233,1440.00,2143.3
122000,61,-0.000000,0.000423,0.000654,-0.000000,0.000000,-6.302233,1440.00,2531.0
124000,62,-0.000178,0.000907,0.000336,0.000153,0.000375,-6.302233,1440.00,2533.6
126000,63,0.000000,0.000349,0.000195,0.000000,0.000000,-6.302233,1440.00,2927.9
128000,64,-0.000264,0.000398,0.000182,0.000721,0.000750,-6.302233,1440.00,2650.8
130000,65,0.000000,0.000715,0.000051,0.000000,0.000000,-6.302233,1440.00,2862.1
132000,66,0.000000,0.000357,0.000058,0.000000,0.000000,-6.302233,1440.00,2291.9
134000,67,-0.000000,0.000305,0.000072,-0.000000,0.000000,-6.302233,1440.00,2290.4
136000,68,0.000000,0.000287,0.000094,-0.000000,0.000000,-6.302233,1440.00,2292.6
138000,69,0.000000,0.000353,0.000063,-0.000000,0.000000,-6.302233,1440.00,2323.0
140000,70,-0.000000,0.000283,0.000048,-0.000000,0.000000,-5.258858,1440.00,2862.5
142000,71,-0.000000,0.000235,0.000043,-0.000000,0.000000,-5.258858,1440.00,2314.4
144000,72,0.000000,0.000278,0.000032,-0.000000,0.000000,-5.258858,1440.00,2109.2
146000,73,0.000000,0.000333,0.000045,-0.000000,0.000000,-5.258858,1440.00,2560.7
148000,74,-0.000000,0.000875,0.000059,-0.000000,0.000000,-5.258858,1440.00,2638.3
150000,75,-0.000000,0.000360,0.000049,-0.000000,0.000000,-5.258858,1440.00,3186.1
152000,76,0.000000,0.001095,0.000083,-0.000000,0.000000,-5.258858,1440.00,3095.3
154000,77,-0.000000,0.000260,0.000120,-0.000000,0.000000,-5.258858,1440.00,1834.9
156000,78,-0.000000,0.000557,0.000082,-0.000000,0.000000,-5.258858,1440.00,1491.0
158000,79,-0.000000,0.001117,0.000143,-0.000000,0.000000,-5.258858,1440.00,2573.8
160000,80,-0.000000,0.001545,0.000104,-0.000000,0.000000,-5.258858,1440.00,2795.0
162000,81,-0.000000,0.000258,0.000105,-0.000000,0.000000,-2.184766,1440.00,3097.1
164000,82,-0.000000,0.000482,0.000245,-0.000000,0.000000,-2.184766,1440.00,3289.5
166000,83,-0.000000,0.000387,0.000138,-0.000000,0.000000,-2.184766,1440.00,1904.8
168000,84,0.000000,0.000224,0.000115,-0.000000,0.000000,-2.184766,1440.00,1581.8
170000,85,0.000000,0.000150,0.000111,-0.000000,0.000000,-2.184766,1440.00,1855.1
172000,86,0.000000,0.000190,0.000184,-0.000000,0.000000,-2.184766,1440.00,1895.4
174000,87,0.000000,0.000174,0.000177,-0.000000,0.000000,-2.184766,1440.00,1885.5
176000,88,0.000000,0.000145,0.000163,-0.000000,0.000000,-2.184766,1440.00,1844.6
178000,89,-0.000000,0.000135,0.000142,-0.000000,0.000000,-2.184766,1440.00,1999.0
180000,90,0.000000,0.000133,0.000137,-0.000000,0.000000,-2.184766,1440.00,1885.6
182000,91,0.000000,0.000119,0.000128,-0.000000,0.000000,-2.184766,1440.00,1809.8
184000,92,0.000000,0.000123,0.000156,-0.000000,0.000000,-2.184766,1440.00,1865.1
186000,93,0.000000,0.000119,0.000216,-0.000000,0.000000,-0.523203,1440.00,1915.6
188000,94,0.000000,0.000115,0.000151,-0.000000,0.000000,-0.523203,1440.00,1879.3
190000,95,0.000000,0.000122,0.000117,-0.000000,0.000000,-0.523203,1440.00,2364.3
192000,96,-0.000000,0.000126,0.000211,-0.000000,0.000000,-0.523203,1440.00,3244.5
194000,97,0.000000,0.000115,0.000206,-0.000000,0.000000,-0.523203,1440.00,2810.7
196000,98,0.000000,0.000117,0.000145,-0.000000,0.000000,-0.523203,1440.00,2712.6
198000,99,0.000000,0.000144,0.000120,-0.000000,0.000000,-0.523203,1440.00,3223.7
200000,100,0.000000,0.000112,0.000101,-0.000000,0.000000,-0.523203,1440.00,3136.1
202000,101,-0.000000,0.000114,0.000155,-0.000000,0.000000,-0.523203,1440.00,1885.4
204000,102,0.000000,0.000111,0.000355,-0.000000,0.000000,-0.523203,1440.00,1582.7
206000,103,0.000000,0.000101,0.000197,-0.000000,0.000000,-0.523203,1440.00,1607.6
208000,104,-0.000000,0.000114,0.000176,-0.000000,0.000000,-0.108456,1440.00,1826.1
210000,105,0.000000,0.000110,0.000174,-0.000000,0.000000,-0.108456,1440.00,1830.1
212000,106,-0.000000,0.000113,0.000197,-0.000000,0.000000,-0.108456,1440.00,1500.8
214000,107,0.000000,0.000171,0.000326,-0.000000,0.000000,-0.108456,1440.00,1653.3
216000,108,0.000000,0.000100,0.000261,-0.000000,0.000000,-0.108456,1440.00,1804.3
218000,109,-0.000000,0.000103,0.000231,-0.000000,0.000000,-0.108456,1440.00,1695.3
220000,110,0.000000,0.000107,0.000161,-0.000000,0.000000,-0.108456,1440.00,1558.3
222000,111,-0.000000,0.000101,0.000183,-0.000000,0.000000,-0.108456,1440.00,1886.7
224000,112,0.000000,0.000102,0.000239,-0.000000,0.000000,-0.108456,1440.00,1770.9
226000,113,0.000000,0.000084,0.000202,0.000000,0.000000,-0.108456,1440.00,1922.0
228000,114,0.000000,0.000137,0.000205,-0.000000,0.000000,-0.108456,1440.00,1939.3
230000,115,0.000000,0.000114,0.000261,-0.000000,0.000000,-0.108456,1440.00,1658.9
232000,116,-0.000000,0.000084,0.000344,-0.000000,0.000000,-0.041101,1440.00,2081.9
234000,117,-0.000000,0.000091,0.000512,0.000000,0.000000,-0.041101,1440.00,3220.4
236000,118,-0.000000,0.000082,0.000335,0.000000,0.000000,-0.041101,1440.00,3201.8
238000,119,-0.000000,0.000075,0.000256,-0.000000,0.000000,-0.041101,1440.00,3430.6
240000,120,-0.000000,0.000084,0.000212,-0.000000,0.000000,-0.041101,1440.00,3453.6
242000,121,-0.000000,0.000082,0.000260,-0.000000,0.000000,-0.041101,1440.00,3159.0
244000,122,-0.000000,0.000075,0.000311,-0.000000,0.000000,-0.041101,1440.00,3409.0
246000,123,0.000000,0.000073,0.000401,-0.000000,0.000000,-0.041101,1440.00,3357.5
248000,124,-0.000000,0.000089,0.000361,-0.000000,0.000000,-0.041101,1440.00,3390.1
250000,125,-0.000000,0.000082,0.000393,-0.000000,0.000000,-0.041101,1440.00,3159.2
252000,126,0.000000,0.000066,0.000274,-0.000000,0.000000,-0.041101,1440.00,2934.9
254000,127,0.000000,0.000073,0.000295,-0.000000,0.000000,-0.032761,1440.00,3504.7
256000,128,-0.000000,0.000082,0.000332,0.000000,0.000000,-0.032761,1440.00,3452.4
258000,129,0.000000,0.000125,0.000317,-0.000000,0.000000,-0.032761,1440.00,3523.4
260000,130,-0.000000,0.000079,0.000393,-0.000000,0.000000,-0.032761,1440.00,2618.5
262000,131,0.000000,0.000126,0.000311,-0.000000,0.000000,-0.032761,1440.00,2827.7
264000,132,-0.000000,0.000174,0.000372,-0.000000,0.000000,-0.032761,1440.00,3087.9
266000,133,0.000000,0.000093,0.000393,-0.000000,0.000000,-0.032761,1440.00,3071.8
268000,134,-0.000000,0.000064,0.000478,-0.000000,0.000000,-0.032761,1440.00,3207.3
270000,135,-0.000000,0.000058,0.000399,-0.000000,0.000000,-0.032761,1440.00,3181.6
272000,136,0.000000,0.000060,0.000370,-0.000000,0.000000,-0.032761,1440.00,2959.0
274000,137,0.000000,0.000061,0.000274,-0.000000,0.000000,-0.032761,1440.00,2825.1
276000,138,0.000000,0.000057,0.000469,-0.000000,0.000000,-0.032761,1440.00,2852.3
278000,139,0.000000,0.000058,0.000534,0.000000,0.000000,-0.031798,1440.00,3381.6
280000,140,-0.000000,0.000059,0.000410,-0.000000,0.000000,-0.031798,1440.00,3265.2
282000,141,-0.000000,0.000058,0.000493,-0.000000,0.000000,-0.031798,1440.00,3476.3
284000,142,0.000000,0.000057,0.000428,-0.000000,0.000000,-0.031798,1440.00,3117.9
286000,143,-0.000000,0.000051,0.000421,-0.000000,0.000000,-0.031798,1440.00,2670.4
288000,144,-0.000000,0.000045,0.000425,-0.000000,0.000000,-0.031798,1440.00,2220.0
290000,145,-0.000000,0.000052,0.000572,-0.000000,0.000000,-0.031798,1440.00,2039.5
