env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
138000,69,-0.000000,0.000188,0.001401,-0.000000,0.000000,-5.601908,1440.00,3348.6
140000,70,-0.000120,0.000253,0.002292,0.000046,0.000375,-4.674534,1440.00,3003.3
142000,71,-0.000001,0.000157,0.001710,0.000000,0.000000,-4.674534,1440.00,3310.1
144000,72,-0.000000,0.000214,0.001419,0.000000,0.000000,-4.674534,1440.00,3370.8
146000,73,-0.000078,0.000201,0.001729,0.000054,0.000375,-4.674534,1440.00,3231.9
148000,74,-0.000000,0.000426,0.001469,-0.000000,0.000000,-4.674534,1440.00,3561.4
150000,75,-0.000140,0.000272,0.001158,0.000041,0.000375,-4.674534,1440.00,3452.6
152000,76,-0.000001,0.000288,0.000768,0.000000,0.000000,-4.674534,1440.00,3564.7
154000,77,0.000000,0.000257,0.000536,-0.000000,0.000000,-4.674534,1440.00,3309.7
156000,78,-0.000146,0.000215,0.000408,0.000094,0.000375,-4.674534,1440.00,3380.9
158000,79,0.000000,0.001006,0.000343,0.000000,0.000000,-4.674534,1440.00,3247.3
160000,80,-0.000000,0.001030,0.000284,-0.000000,0.000000,-4.674534,1440.00,3536.1
162000,81,0.000000,0.000123,0.000364,-0.000000,0.000000,-1.756342,1440.00,3495.2
164000,82,-0.000000,0.000148,0.000418,-0.000000,0.000000,-1.756342,1440.00,3188.5
166000,83,0.000000,0.000131,0.000464,-0.000000,0.000000,-1.756342,1440.00,3095.0
168000,84,-0.000000,0.000127,0.000383,-0.000000,0.000000,-1.756342,1440.00,3162.8
170000,85,-0.000000,0.000130,0.000422,-0.000000,0.000000,-1.756342,1440.00,3393.4
172000,86,0.000000,0.000131,0.000367,-0.000000,0.000000,-1.756342,1440.00,3399.3
174000,87,0.000000,0.000113,0.000589,-0.000000,0.000000,-1.756342,1440.00,3198.1
176000,88,0.000000,0.000175,0.000556,-0.000000,0.000000,-1.756342,1440.00,3591.0
178000,89,0.000000,0.000110,0.000430,-0.000000,0.000000,-1.756342,1440.00,3547.9
180000,90,0.000000,0.000115,0.000534,-0.000000,0.000000,-1.756342,1440.00,3575.7
182000,91,-0.000000,0.000120,0.000553,-0.000000,0.000000,-1.756342,1440.00,3159.5
184000,92,0.000000,0.001107,0.000460,-0.000000,0.000000,-1.756342,1440.00,2994.9
186000,93,-0.000000,0.000652,0.000487,-0.000000,0.000000,-0.303572,1440.00,3401.0
188000,94,-0.000001,0.001055,0.000697,0.000000,0.000000,-0.303572,1440.00,3392.3
190000,95,0.000000,0.000103,0.000851,0.000000,0.000000,-0.303572,1440.00,3425.5
192000,96,-0.000000,0.000120,0.000788,-0.000000,0.000000,-0.303572,1440.00,3152.0
194000,97,0.000000,0.000116,0.000925,-0.000000,0.000000,-0.303572,1440.00,3519.4
